Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SG,James Harden,10300,Mia@Hou 08:00PM ET,50.15,Hou
PG,Damian Lillard,9200,Mil@Por 10:00PM ET,42.976,Por
PG,Kyle Lowry,8700,Tor@Pho 09:00PM ET,42.41,Tor
SF,Carmelo Anthony,8400,Bos@NY 07:30PM ET,38.789,NY
SG,Eric Bledsoe,8300,Tor@Pho 09:00PM ET,39.056,Pho
SG,DeMar DeRozan,8100,Tor@Pho 09:00PM ET,36.84,Tor
C,Karl-Anthony Towns,7800,Min@LAL 10:30PM ET,35.923,Min
PF,Chris Bosh,7700,Mia@Hou 08:00PM ET,35.807,Mia
PG,Isaiah Thomas,7500,Bos@NY 07:30PM ET,37.25,Bos
C,Hassan Whiteside,7400,Mia@Hou 08:00PM ET,35.384,Mia
SG,Dwyane Wade,7300,Mia@Hou 08:00PM ET,32.922,Mia
C,Dwight Howard,7300,Mia@Hou 08:00PM ET,35.875,Hou
SF,Giannis Antetokounmpo,7300,Mil@Por 10:00PM ET,32.367,Mil
PG,Brandon Knight,7200,Tor@Pho 09:00PM ET,34.756,Pho
SG,Khris Middleton,7100,Mil@Por 10:00PM ET,30.969,Mil
C,Greg Monroe,7000,Mil@Por 10:00PM ET,35.463,Mil
PF,Kristaps Porzingis,7000,Bos@NY 07:30PM ET,30.99,NY
SG,C.J. McCollum,6900,Mil@Por 10:00PM ET,34.351,Por
PG,Ricky Rubio,6500,Min@LAL 10:30PM ET,31.762,Min
PG,Michael Carter-Williams,6400,Mil@Por 10:00PM ET,29.528,Mil
PF,Julius Randle,6400,Min@LAL 10:30PM ET,27.372,LAL
SG,Andrew Wiggins,6300,Min@LAL 10:30PM ET,29.771,Min
C,Jonas Valanciunas,6200,Tor@Pho 09:00PM ET,28.3,Tor
SF,Jae Crowder,6000,Bos@NY 07:30PM ET,28.393,Bos
SF,Trevor Ariza,5900,Mia@Hou 08:00PM ET,25.673,Hou
SG,Lou Williams,5800,Min@LAL 10:30PM ET,25.383,LAL
SG,Avery Bradley,5700,Bos@NY 07:30PM ET,25.46,Bos
SG,Archie Goodwin,5600,Tor@Pho 09:00PM ET,13.793,Pho
SG,Devin Booker,5600,Tor@Pho 09:00PM ET,15.773,Pho
PG,Goran Dragic,5500,Mia@Hou 08:00PM ET,25.468,Mia
C,Mason Plumlee,5500,Mil@Por 10:00PM ET,26.255,Por
PG,Jordan Clarkson,5500,Min@LAL 10:30PM ET,25.708,LAL
PF,Clint Capela,5500,Mia@Hou 08:00PM ET,21.173,Hou
SG,Kobe Bryant,5400,Min@LAL 10:30PM ET,28.156,LAL
SF,P.J. Tucker,5400,Tor@Pho 09:00PM ET,19.362,Pho
C,Gorgui Dieng,5400,Min@LAL 10:30PM ET,22.633,Min
PG,Marcus Smart,5400,Bos@NY 07:30PM ET,24.205,Bos
PG,Zach LaVine,5300,Min@LAL 10:30PM ET,22.199,Min
PF,Jabari Parker,5300,Mil@Por 10:00PM ET,21.337,Mil
C,Jared Sullinger,5200,Bos@NY 07:30PM ET,26.797,Bos
PF,Amir Johnson,5100,Bos@NY 07:30PM ET,22.082,Bos
SF,Derrick Williams,5000,Bos@NY 07:30PM ET,16.628,NY
C,Tyson Chandler,4900,Tor@Pho 09:00PM ET,19.569,Pho
SG,Arron Afflalo,4900,Bos@NY 07:30PM ET,22.458,NY
SF,Al-Farouq Aminu,4900,Mil@Por 10:00PM ET,24.184,Por
SG,Langston Galloway,4900,Bos@NY 07:30PM ET,18.385,NY
SF,Luol Deng,4800,Mia@Hou 08:00PM ET,21.189,Mia
SF,DeMarre Carroll,4800,Tor@Pho 09:00PM ET,23.261,Tor
SG,Evan Turner,4800,Bos@NY 07:30PM ET,22.653,Bos
PF,Markieff Morris,4800,Tor@Pho 09:00PM ET,20.828,Pho
C,Kelly Olynyk,4800,Bos@NY 07:30PM ET,21.318,Bos
PG,D'Angelo Russell,4800,Min@LAL 10:30PM ET,23.688,LAL
C,Robin Lopez,4700,Bos@NY 07:30PM ET,20.995,NY
C,Alex Len,4600,Tor@Pho 09:00PM ET,18.005,Pho
PG,Patrick Beverley,4500,Mia@Hou 08:00PM ET,20.09,Hou
PF,Amar'e Stoudemire,4400,Mia@Hou 08:00PM ET,12.538,Mia
PF,Larry Nance Jr.,4400,Min@LAL 10:30PM ET,14.9,LAL
SF,Justise Winslow,4400,Mia@Hou 08:00PM ET,15.572,Mia
PF,Josh Smith,4300,Mia@Hou 08:00PM ET,16.349,Hou
SF,Shabazz Muhammad,4300,Min@LAL 10:30PM ET,14.673,Min
PF,Luis Scola,4200,Tor@Pho 09:00PM ET,20.138,Tor
PF,Jon Leuer,4100,Tor@Pho 09:00PM ET,19.792,Pho
PF,Ed Davis,4100,Mil@Por 10:00PM ET,19.896,Por
